umidade;temperatura;pressao;vento_ang;vent_veloc;chuva;corrente_fuga;A;B;C;K;Uc
61;32;1014;58;5,5;0;0,034799;0,08608373;0,087402619;5,634191865;1,48501225;18974,27137
62;32;1014;61;4,7;0;0,034304;0,08608373;0,086778761;5,641355207;1,485628897;19172,34865
62;31,9;1014;74;3,6;0;0,034556;0,08608373;0,08709692;5,637695592;1,485313864;19070,89804
62;31,9;1014;94;3,7;0;0,034944;0,08608373;0,087584523;5,6321128;1,484833276;18917,16574
62;32;1014;40;3,7;0;0,034182;0,08608373;0,086624312;5,643136595;1,485782246;19221,92656
61;32,1;1014;55;2,8;0;0,035013;0,08608373;0,087670952;5,63112648;1,48474837;18890,13456
62;32,1;1014;60;4,5;0;0,035241;0,08608373;0,08795594;5,627881101;1,484468996;18801,46348
63;32,2;1014;68;4,3;0;0,034912;0,08608373;0,087544411;5,632570885;1,48487271;18929,73319
63;32,1;1014;69;3,4;0;0,034662;0,08608373;0,087230402;5,636164197;1,485182036;19028,60453
64;32,2;1014;46;3,6;0;0,03477;0,08608373;0,087366192;5,634608717;1,485048134;18985,74175
64;32,3;1014;64;4,9;0;0,034305;0,08608373;0,086780026;5,641340632;1,485627642;19171,94353
64;32,3;1014;43;4,9;0;0,03342;0,08608373;0,085653337;5,654408928;1,48675261;19538,63
63;32,2;1014;73;4,3;0;0,03388;0,08608373;0,086240797;5,647573755;1,486164213;19345,97484
62;32,2;1014;61;3,6;0;0,032944;0,08608373;0,08504117;5,661581615;1,487370062;19742,85912
62;32,2;1014;67;3,9;0;0,033197;0,08608373;0,085367091;5,657756435;1,487040776;19633,68018
62;32,2;1014;46;3,9;0;0,034193;0,08608373;0,086638249;5,642975718;1,485768397;19217,44391
62;32;1014;56;2,6;0;0,033941;0,08608373;0,0863184;5,646674328;1,486086787;19320,76541
62;32;1014;84;3,6;0;0,034635;0,08608373;0,087196421;5,636553824;1,485215576;19039,35622
62;32;1014;21;3,6;0;0,034534;0,08608373;0,08706919;5,638014017;1,485341275;19079,70398
62;32;1014;24;3,7;0;0,034021;0,08608373;0,086420067;5,6454972;1,485985455;19287,822
62;32;1014;75;3,6;0;0,03536;0,08608373;0,088104317;5,626195571;1,484323899;18755,57514
63;32;1014;337;3,7;0;0,034231;0,08608373;0,086686378;5,642420357;1,485720589;19201,97752
62;32;1014;38;1,8;0;0,034086;0,08608373;0,086502584;5,644542819;1,485903299;19261,15367
62;32;1014;10;3;0;0,0366;0,08608373;0,089635822;5,60896207;1,482840375;18292,76648
63;31,9;1014;34;1,8;0;0,034384;0,08608373;0,08687989;5,64019052;1,485528636;19140,00325
63;31,9;1014;64;3,4;0;0,03459;0,08608373;0,087139757;5,637203879;1,485271535;19057,30786
63;31,9;1014;7;2,4;0;0,035145;0,08608373;0,087836058;5,62924501;1,484586406;18838,67779
62;31,9;1014;6;3,4;0;0,033825;0,08608373;0,086170768;5,648386103;1,486234143;19368,77184
62;32;1014;72;1,4;0;0,034332;0,08608373;0,086814169;5,640947258;1,485593779;19161,01298
62;32;1014;74;3,9;0;0,034161;0,08608373;0,086597699;5,643443869;1,485808697;19230,49125
